address,suburb,state,postcode,full_address,price,sold date,type,bedrooms,bathrooms,"55 Fairway Crawley, WA 6009",Land size,Building size,Year Built,rent,rent date,agent
73 Fairway,Crawley,WA,6009,73 Fairway Crawley WA 6009,"$1,180,000",Jun-21,House,2,1,2,607,131,1939,$550pw,Aug-21,Jack Bradshaw
69 Fairway,Crawley,WA,6009,69 Fairway Crawley WA 6009,"$1,225,000",Jun-21,House,2,1,2,607,,1926,$500pw,Aug-21,Brian Neo
65 Fairway,Crawley,WA,6009,65 Fairway Crawley WA 6009,"$1,225,000",Jun-21,House,2,1,2,607,77,1921,$310pw,Jun-08,Jack Bradshaw
57 Fairway,Crawley,WA,6009,57 Fairway Crawley WA 6009,"$1,650,000",Jun-21,Apartment,10,4,6,607,81,1965,$167pw,Oct-15,Jack Bradshaw
55 Fairway,Crawley,WA,6009,55 Fairway Crawley WA 6009,"$1,275,000",Jun-21,House,3,2,2,607,164,1948,,,Brian Neo
15 The Avenue,Crawley,WA,6009,15 The Avenue Crawley WA 6009,"$3,650,000",Jun-21,Apartment,2,1,1,"1,012",,,$230pw,Aug-20,Mark Hay
150 Fairway,Crawley,WA,6009,150 Fairway Crawley WA 6009,"$3,500,000",Jun-21,Apartment,1,1,1,809,,1964,$220pw,Dec-19,Mark Hay
6/9-11 Wingfield Avenue,Crawley,WA,6009,6/9-11 Wingfield Avenue Crawley WA 6009,"$920,000",Jun-21,House,3,2,3,154,148,1972,,,Michelle Kerr
42/3 Park Avenue,Crawley,WA,6009,42/3 Park Avenue Crawley WA 6009,"$1,275,000",May-21,Apartment,3,2,2,"6,588",174,1983,"$1,100pw",Mar-14,Richard Self
15/22 The Avenue,Crawley,WA,6009,15/22 The Avenue Crawley WA 6009,"$1,455,000",May-21,Apartment,3,2,2,"4,524",169,1981,$785pw,May-16,
1/3 Wingfield Avenue,Crawley,WA,6009,1/3 Wingfield Avenue Crawley WA 6009,"$1,040,000",Apr-21,Apartment,3,1,2,204,155,1982,$650pw,Oct-15,Annie McCarthy
7/131 Fairway,Crawley,WA,6009,7/131 Fairway Crawley WA 6009,"$860,000",Apr-21,House,3,2,2,159,130,2000,$670pw,Feb-21,Michelle Kerr
1/16 The Avenue,Crawley,WA,6009,1/16 The Avenue Crawley WA 6009,"$4,000,000",Mar-21,Apartment,3,3,4,310,297,1987,,,Peter Robertson
5/20 Park Road,Crawley,WA,6009,5/20 Park Road Crawley WA 6009,"$639,000",Mar-21,Townhouse,2,1,1,86,90,2004,$500pw,Nov-10,Belinda Airey
7/28 The Avenue,Crawley,WA,6009,7/28 The Avenue Crawley WA 6009,"$422,000",Feb-21,Apartment,2,1,1,65,59,1964,$315pw,May-19,
27/70-72 Broadway,Crawley,WA,6009,27/70-72 Broadway Crawley WA 6009,"$320,000",Feb-21,Apartment,1,1,1,47,45,1964,,,Minrong Lan
3/64 Broadway,Crawley,WA,6009,3/64 Broadway Crawley WA 6009,"$485,000",Jan-21,Apartment,3,1,2,131,100,1990,$500pw,Jan-21,David Azzopardi
12/9 Everett Street,Crawley,WA,6009,12/9 Everett Street Crawley WA 6009,"$395,000",Jan-21,Apartment,2,1,1,109,90,1969,$215pw,Aug-04,
2/15 COOK STREET,Crawley,WA,6009,2/15 COOK STREET Crawley WA 6009,"$635,000",Jan-21,House,3,1,1,119,116,1981,$750pw,Mar-12,Peter Zambotti
4/22 Caporn Street,Crawley,WA,6009,4/22 Caporn Street Crawley WA 6009,"$360,000",Dec-20,Apartment,1,1,1,50,50,1958,$345pw,Dec-16,
G04/173 Mounts Bay Road,Crawley,WA,6009,G04/173 Mounts Bay Road Crawley WA 6009,"$2,000,000",Dec-20,Apartment,3,2,3,271,,,,,
6/82 Broadway,Crawley,WA,6009,6/82 Broadway Crawley WA 6009,"$249,000",Dec-20,Apartment,1,1,1,46,43,1967,,,
12E/16 Kings Park Avenue,Crawley,WA,6009,12E/16 Kings Park Avenue Crawley WA 6009,"$1,200,000",Nov-20,House,3,2,2,190,,,,,
9.1/4 Crawley Avenue,Crawley,WA,6009,9.1/4 Crawley Avenue Crawley WA 6009,"$755,000",Oct-20,Apartment,3,2,2,202,,1970,$595pw,Dec-16,Peter & Ali - Turner & Moore Team
118 Broadway,Crawley,WA,6009,118 Broadway Crawley WA 6009,"$1,825,000",Oct-20,Apartment,,8,8,880,77,1939,$210pw,Sep-16,David Azzopardi
7/8 Wingfield Avenue,Crawley,WA,6009,7/8 Wingfield Avenue Crawley WA 6009,"$650,000",Oct-20,Apartment,3,2,2,123,121,1979,$650pw,Jan-21,
1/16 Caporn Street,Crawley,WA,6009,1/16 Caporn Street Crawley WA 6009,"$475,000",Oct-20,Apartment,,1,1,73,73,1969,$500pw,Jul-15,
10/159 Fairway,Crawley,WA,6009,10/159 Fairway Crawley WA 6009,"$270,000",Sep-20,Apartment,1,1,1,41,35,1964,$250pw,Sep-20,
L108 171/173 Mounts Bay Road,Crawley,WA,6009,L108 171/173 Mounts Bay Road Crawley WA 6009,"$725,000",Aug-20,Apartment,2,2,3,142,,,,,Davide Palermo
35/17 The Avenue,Crawley,WA,6009,35/17 The Avenue Crawley WA 6009,"$270,000",Aug-20,Apartment,1,1,1,41,41,1963,$370pw,Apr-21,
8/20 Park Road,Crawley,WA,6009,8/20 Park Road Crawley WA 6009,"$410,000",Jun-20,Apartment,1,1,1,76,65,2004,$420pw,Mar-15,
8E Park Road,Crawley,WA,6009,8E Park Road Crawley WA 6009,"$525,000",Jun-20,House,1,1,1,116,81,1999,$500pw,Jan-19,
6/114 Broadway,Crawley,WA,6009,6/114 Broadway Crawley WA 6009,"$270,000",Apr-20,Apartment,2,1,0,76,76,1963,$460pw,Jan-15,
1/31 Caporn Street,Crawley,WA,6009,1/31 Caporn Street Crawley WA 6009,"$530,000",Apr-20,Townhouse,3,1,1,95,102,1981,,,
5/82 Broadway,Crawley,WA,6009,5/82 Broadway Crawley WA 6009,"$239,000",Apr-20,Unit,1,1,1,46,43,1967,$240pw,Sep-16,
1/139 Fairway,Crawley,WA,6009,1/139 Fairway Crawley WA 6009,"$540,000",Feb-20,Townhouse,2,1,2,95,100,1978,,,
10/25 The Avenue,Crawley,WA,6009,10/25 The Avenue Crawley WA 6009,"$350,000",Feb-20,Unit,2,1,1,74,72,1965,$430pw,Feb-21,
1/4 Kings Park Avenue,Crawley,WA,6009,1/4 Kings Park Avenue Crawley WA 6009,"$1,260,000",Jan-20,Unit,3,2,2,215,212,1982,,,
2/44 Broadway,Crawley,WA,6009,2/44 Broadway Crawley WA 6009,"$525,000",Dec-19,Apartment,2,1,2,104,77,1980,$530pw,Oct-18,
2W/14-18 Kings Park Avenue,Crawley,WA,6009,2W/14-18 Kings Park Avenue Crawley WA 6009,"$825,000",Nov-19,Apartment,3,2,2,190,190,1972,$850pw,Sep-17,
8e/14 Kings Park Avenue,Crawley,WA,6009,8e/14 Kings Park Avenue Crawley WA 6009,"$1,250,000",Nov-19,Apartment,3,2,2,190,190,1972,,,
17e/14 Kings Park Avenue,Crawley,WA,6009,17e/14 Kings Park Avenue Crawley WA 6009,"$1,290,000",Oct-19,Apartment,3,2,2,190,190,1972,,,
7.1/1 Wingfield Avenue,Crawley,WA,6009,7.1/1 Wingfield Avenue Crawley WA 6009,"$1,030,000",Oct-19,Apartment,3,2,2,221,,,,,Perth Lifestyle Residential - Lifestyle Is Where I
3/4 Kings Park Avenue,Crawley,WA,6009,3/4 Kings Park Avenue Crawley WA 6009,"$1,040,000",Sep-19,Apartment,3,2,2,215,212,1982,"$1,190pw",Feb-21,Perth Lifestyle Residential - Lifestyle Is Where I
1E/21 Park Avenue,Crawley,WA,6009,1E/21 Park Avenue Crawley WA 6009,"$865,000",Sep-19,Apartment,3,2,2,443,,1982,,,
3/10 Kings Park Avenue,Crawley,WA,6009,3/10 Kings Park Avenue Crawley WA 6009,"$1,550,000",Aug-19,Apartment,3,2,2,287,187,1999,,,
7E/21 Park Avenue,Crawley,WA,6009,7E/21 Park Avenue Crawley WA 6009,"$1,225,000",Jul-19,Apartment,3,2,2,224,224,1982,,,Perth Lifestyle Residential - Lifestyle Is Where I
14/8 MOUNTS BAY ROAD,Crawley,WA,6009,14/8 MOUNTS BAY ROAD Crawley WA 6009,"$2,750,000",Jun-19,Apartment,3,2,4,609,609,2006,,,Perth Lifestyle Residential - Lifestyle Is Where I
3/4 Crawley Avenue,Crawley,WA,6009,3/4 Crawley Avenue Crawley WA 6009,"$365,000",Jun-19,Apartment,1,1,1,77,74,1970,$380pw,May-18,Perth Lifestyle Residential - Lifestyle Is Where I
95 Fairway,Crawley,WA,6009,95 Fairway Crawley WA 6009,"$525,000",Jun-19,House,2,1,2,154,97,1982,$399pw,Sep-19,Shellabears - Cottesloe
7/9 Everett Street,Crawley,WA,6009,7/9 Everett Street Crawley WA 6009,"$345,000",Apr-19,Unit,2,1,1,109,90,1969,$370pw,Mar-19,
3W/21 Park Avenue,Crawley,WA,6009,3W/21 Park Avenue Crawley WA 6009,"$1,200,000",Mar-19,Apartment,3,2,2,234,,1982,,,Perth Lifestyle Residential - Lifestyle Is Where I
3/7 The Avenue,Crawley,WA,6009,3/7 The Avenue Crawley WA 6009,"$800,000",Jan-19,Townhouse,3,2,2,"1,012",164,1979,$750pw,Feb-21,Collective Property Group WA - COTTESLOE
105/150 Broadway,Crawley,WA,6009,105/150 Broadway Crawley WA 6009,"$620,000",Dec-18,Apartment,2,1,1,,,,,,Pindan Realty Pty Ltd
4/152 Broadway,Crawley,WA,6009,4/152 Broadway Crawley WA 6009,"$390,000",Nov-18,Apartment,1,1,1,101,70,1958,$350pw,Feb-21,Shellabears - Cottesloe
3/30 Cook Street,Crawley,WA,6009,3/30 Cook Street Crawley WA 6009,"$675,000",Nov-18,Townhouse,2,1,2,144,102,1965,,,William Porteous Properties International Pty Lt
1/5 The Avenue,Crawley,WA,6009,1/5 The Avenue Crawley WA 6009,"$1,550,000",Nov-18,Apartment,3,2,2,"1,012",,,"$1,000pw",Oct-19,Scoop Property - Fremantle
41/1 Wingfield Avenue,Crawley,WA,6009,41/1 Wingfield Avenue Crawley WA 6009,"$895,000",Nov-18,Apartment,4,2,2,221,221,1968,$820pw,Nov-20,The Property Exchange - Subiaco
3/159 Fairway,Crawley,WA,6009,3/159 Fairway Crawley WA 6009,"$265,000",Nov-18,Apartment,1,1,,53,41,1964,$250pw,Dec-16,Shellabears - Cottesloe
46/3 Park Avenue,Crawley,WA,6009,46/3 Park Avenue Crawley WA 6009,"$1,470,000",Oct-18,House,3,2,2,175,175,1983,,,TM Residential - Dalkeith
1A Park Avenue,Crawley,WA,6009,1A Park Avenue Crawley WA 6009,"$2,215,000",Sep-18,House,4,3,3,210,197,2012,"$2,200pw",Nov-15,Perth Lifestyle Residential - Lifestyle Is Where I
3/20 Mounts Bay Road,Crawley,WA,6009,3/20 Mounts Bay Road Crawley WA 6009,"$920,000",Aug-18,Apartment,3,1,2,"1,538",135,,$560pw,Apr-21,Wallace Real Estate - Claremont
11/159 Fairway,Crawley,WA,6009,11/159 Fairway Crawley WA 6009,"$215,000",Aug-18,Unit,1,1,1,35,35,1964,$250pw,Jun-18,Bexleys Real Estate - Wembley
10/22 The Avenue,Crawley,WA,6009,10/22 The Avenue Crawley WA 6009,"$1,050,000",Jul-18,Unit,2,2,2,142,142,1981,$750pw,Jul-20,Bellcourt Property Group - Dalkeith | Shenton Park
1/48 Broadway,Crawley,WA,6009,1/48 Broadway Crawley WA 6009,"$515,000",Jul-18,Apartment,3,2,2,107,95,1982,$485pw,Mar-15,Renouf Real Estate - Swanbourne
9/149 Fairway,Crawley,WA,6009,9/149 Fairway Crawley WA 6009,"$362,100",Jul-18,Unit,2,1,1,69,74,1974,$390pw,Dec-20,Mack Hall Real Estate - Claremont
4/4 Crawley Avenue,Crawley,WA,6009,4/4 Crawley Avenue Crawley WA 6009,"$482,000",Jun-18,Apartment,3,1,1,87,91,1970,$400pw,May-20,Airey Real Estate - CLAREMONT
31 Parkway,Crawley,WA,6009,31 Parkway Crawley WA 6009,"$815,000",Apr-18,House,3,1,2,233,117,,$650pw,Jan-21,Hub Residential - SWANBOURNE
23A Everett Street,Crawley,WA,6009,23A Everett Street Crawley WA 6009,"$950,000",Mar-18,Townhouse,3,3,2,156,145,2004,,,Knight Frank - Perth
6/44 Broadway,Crawley,WA,6009,6/44 Broadway Crawley WA 6009,"$545,000",Mar-18,Apartment,2,1,1,123,77,1980,,,Gordon Davies Real Estate - DALKEITH
40 Everett Street,Crawley,WA,6009,40 Everett Street Crawley WA 6009,"$815,000",Mar-18,House,3,1,,257,117,1969,$300pw,Sep-15,
41/3 Park Avenue,Crawley,WA,6009,41/3 Park Avenue Crawley WA 6009,"$1,220,000",Feb-18,Apartment,3,2,2,175,175,1983,,,Perth Lifestyle Residential - Lifestyle Is Where I
4W/16 Kings Park Avenue,Crawley,WA,6009,4W/16 Kings Park Avenue Crawley WA 6009,"$929,000",Feb-18,Apartment,3,2,2,190,,,,,Perth Lifestyle Residential - Lifestyle Is Where I
123 Fairway,Crawley,WA,6009,123 Fairway Crawley WA 6009,"$818,000",Feb-18,House,4,1,,160,150,1956,,,
4/124 Broadway,Crawley,WA,6009,4/124 Broadway Crawley WA 6009,"$350,000",Feb-18,Unit,2,1,1,68,65,1958,$375pw,Nov-19,Collective Property Group WA - COTTESLOE
8/19 Princess Road,Crawley,WA,6009,8/19 Princess Road Crawley WA 6009,"$295,000",Jan-18,Unit,1,1,1,50,65,1966,$325pw,Aug-14,Shellabears - Cottesloe
2/19 Princess Road,Crawley,WA,6009,2/19 Princess Road Crawley WA 6009,"$300,000",Jan-18,Unit,1,1,1,50,50,1966,$270pw,Oct-17,Shellabears - Cottesloe
5/19 Princess Road,Crawley,WA,6009,5/19 Princess Road Crawley WA 6009,"$307,500",Jan-18,Unit,1,1,1,50,50,1966,$375pw,Mar-18,
17/3 Park Avenue,Crawley,WA,6009,17/3 Park Avenue Crawley WA 6009,"$1,640,000",Jan-18,Unit,3,1,2,175,175,1983,,,
5/10 Kings Park Avenue,Crawley,WA,6009,5/10 Kings Park Avenue Crawley WA 6009,"$1,700,000",Dec-17,Unit,3,3,2,274,187,1999,,,
1/151 Fairway,Crawley,WA,6009,1/151 Fairway Crawley WA 6009,"$490,000",Dec-17,Unit,2,1,1,83,80,1964,$525pw,Sep-15,Shellabears - Cottesloe
2/224 Hampden Road,Crawley,WA,6009,2/224 Hampden Road Crawley WA 6009,"$660,000",13 Dec 2017(Auction),Townhouse,2,2,1,69,82,2004,$525pw,Feb-20,Realmark Central
15W/16 Kings Park Avenue,Crawley,WA,6009,15W/16 Kings Park Avenue Crawley WA 6009,"$1,410,000",Dec-17,Apartment,3,2,2,190,190,,,,Perth Lifestyle Residential - Lifestyle Is Where I
6/60 Broadway,Crawley,WA,6009,6/60 Broadway Crawley WA 6009,"$500,000",Nov-17,Apartment,2,1,1,114,97,1938,$450pw,Jun-21,Rossen Real Estate - Nedlands
82/4 Crawley Avenue,Crawley,WA,6009,82/4 Crawley Avenue Crawley WA 6009,"$840,000",Nov-17,Unit,2,2,2,158,162,1970,$620pw,Jun-09,LJ Hooker - Dalkeith | Claremont
16C Princess Road,Crawley,WA,6009,16C Princess Road Crawley WA 6009,"$607,000",Nov-17,Townhouse,2,2,1,172,95,1938,$600pw,Jun-19,Acton - Dalkeith
25 70-72 Broadway,Crawley,WA,6009,25 70-72 Broadway Crawley WA 6009,"$337,500",Nov-17,Unit,1,1,1,44,46,1964,,,Residential West
6/10 The Avenue,Crawley,WA,6009,6/10 The Avenue Crawley WA 6009,"$850,000",Nov-17,Unit,2,2,2,105,105,1979,,,Collective Property Group WA - COTTESLOE
1/26 The Avenue,Crawley,WA,6009,1/26 The Avenue Crawley WA 6009,"$849,000",Oct-17,House,3,2,2,110,110,1985,,,Perth Lifestyle Residential - Lifestyle Is Where I
8/126 Broadway,Crawley,WA,6009,8/126 Broadway Crawley WA 6009,"$330,000",Oct-17,Commercial,,,1,91,82,,,,
3/4 Wingfield Avenue,Crawley,WA,6009,3/4 Wingfield Avenue Crawley WA 6009,"$875,000",Oct-17,Townhouse,3,2,2,222,176,,,,Shellabears - Cottesloe
32/212 Hampden Road,Crawley,WA,6009,32/212 Hampden Road Crawley WA 6009,"$252,000",Oct-17,Apartment,1,1,1,39,39,1968,$260pw,Dec-19,Kempton Azzopardi - Nedlands
1/17-23 The Avenue,Crawley,WA,6009,1/17-23 The Avenue Crawley WA 6009,"$310,000",Oct-17,Apartment,1,1,1,41,45,1963,$350pw,Mar-21,Acton - Dalkeith
8/8 Mounts Bay Road,Crawley,WA,6009,8/8 Mounts Bay Road Crawley WA 6009,"$2,050,000",Sep-17,House,3,3,2,284,181,2006,,,Perth Lifestyle Residential - Lifestyle Is Where I
12/10 Kings Park Avenue,Crawley,WA,6009,12/10 Kings Park Avenue Crawley WA 6009,"$2,900,000",Sep-17,Unit,3,3,6,462,187,,"$1,900pw",Aug-11,William Porteous Properties International Pty Ltd 
4/133 Fairway,Crawley,WA,6009,4/133 Fairway Crawley WA 6009,"$530,000",Aug-17,Townhouse,2,1,1,104,97,1980,$400pw,Jan-21,LJ Hooker - Dalkeith | Claremont
7/10 The Avenue,Crawley,WA,6009,7/10 The Avenue Crawley WA 6009,"$1,125,000",Aug-17,Apartment,3,2,2,152,152,1979,,,Acton - Dalkeith
22/70-72 Broadway,Crawley,WA,6009,22/70-72 Broadway Crawley WA 6009,"$253,000",Jul-17,Apartment,1,1,1,48,48,1964,$285pw,Jan-19,
22/70 Broadway,Crawley,WA,6009,22/70 Broadway Crawley WA 6009,"$253,000",Jul-17,Apartment,1,1,1,48,48,1964,$285pw,Jan-19,Kempton Azzopardi - Nedlands
