,address,agent,bathrooms,bedrooms,building_size,built_date,car_space,full_address,land_size,lat,lng,postcode,price,property_type,rent,rent_date,sale_id,sold_date,state,suburb,perth,east_perth,west_perth,northbridge,crawley,nedlands
1,1/10 Wright Street,not recorded,1,2,62,1979,1,1/10 Wright Street Perth WA 6000,62,-31.940382399999997,115.8737132,6000,355000,Townhouse,340,2018-10,2,2020,WA,Perth,1,0,0,0,0,0
6,10 Pisconeri Street,Daniel Porcaro,2,4,289,2008,3,10 Pisconeri Street Perth WA 6000,302,-31.9485212,115.86750020000001,6000,1308000,House,700,2018-04,7,2021,WA,Perth,1,0,0,0,0,0
7,10 Robinson Avenue,Claude Iaconi,2,2,174,1995,2,10 Robinson Avenue Perth WA 6000,241,-31.9442908,115.8642977,6000,880000,House,550,2018-10,8,2020,WA,Perth,1,0,0,0,0,0
8,10/10 Wright Street,not recorded,1,2,62,1979,1,10/10 Wright Street Perth WA 6000,62,-31.9439724,115.87193090000001,6000,447500,Townhouse,460,2013-06,9,2020,WA,Perth,1,0,0,0,0,0
21,11 Lindsay Street,Meryl Carter,2,3,155,2010,2,11 Lindsay Street Perth WA 6000,240,-31.946328,115.86301270000001,6000,1100000,House,780,2021-01,22,2021,WA,Perth,1,0,0,0,0,0
23,11/18 Robinson Avenue,Graeme Correy,1,3,139,2002,1,11/18 Robinson Avenue Perth WA 6000,201,-31.944274600000004,115.8638426,6000,620000,Townhouse,475,2019-09,24,2021,WA,Perth,1,0,0,0,0,0
30,119 Summers Street,not recorded,1,3,125,1900,0,119 Summers Street Perth WA 6000,506,-31.945323899999998,115.8744723,6000,830000,House,0,1900-01,31,2020,WA,Perth,1,0,0,0,0,0
31,12 Lane Street,not recorded,1,3,334,1930,2,12 Lane Street Perth WA 6000,351,-31.942709899999997,115.86448670000001,6000,780000,House,480,2014-08,32,2020,WA,Perth,1,0,0,0,0,0
32,12 Wade Street,Annie Kowal,2,4,136,1996,2,12 Wade Street Perth WA 6000,152,-31.9424538,115.86392859999998,6000,680000,Townhouse,625,2015-12,33,2021,WA,Perth,1,0,0,0,0,0
39,123 Glendower Street,Matt Seabrook,2,4,161,1900,2,123 Glendower Street Perth WA 6000,278,-31.93808,115.85876,6000,975000,House,0,1900-01,40,2020,WA,Perth,1,0,0,0,0,0
45,14 Hope Street,Nadija Begovich,1,2,131,1930,2,14 Hope Street Perth WA 6000,409,-31.9419271,115.8593044,6000,790000,House,0,1900-01,46,2020,WA,Perth,1,0,0,0,0,0
49,14/180 Stirling Street,not recorded,1,1,48,2013,1,14/180 Stirling Street Perth WA 6000,81,-31.9470657,115.8661848,6000,335000,House,360,2020-08,50,2021,WA,Perth,1,0,0,0,0,0
53,15/114 Terrace Road,Davide Palermo,1,1,54,1945,0,15/114 Terrace Road Perth WA 6000,54,-31.959761999999998,115.8673101,6000,210000,Villa,250,2016-09,54,2021,WA,Perth,1,0,0,0,0,0
56,1-5/55 Gladstone Street,not recorded,1,1,80,1999,1,1-5/55 Gladstone Street Perth WA 6000,110,-31.9467168,115.87206950000001,6000,1220000,House,0,1900-01,57,2020,WA,Perth,1,0,0,0,0,0
60,154A Lake Street,not recorded,2,3,125,1995,2,154A Lake Street Perth WA 6000,190,-31.943762699999997,115.85954890000001,6000,712500,House,595,2017-04,61,2020,WA,Perth,1,0,0,0,0,0
64,16 Hope Street,Nadija Begovich,1,3,129,1930,2,16 Hope Street Perth WA 6000,403,-31.94166,115.8589,6000,845000,House,380,2009-08,65,2020,WA,Perth,1,0,0,0,0,0
65,16 Robinson Avenue,not recorded,2,3,116,1993,2,16 Robinson Avenue Perth WA 6000,305,-31.9442642,115.8640398,6000,760000,House,768,2017-01,66,2020,WA,Perth,1,0,0,0,0,0
71,166 Lake Street,Daniel Porcaro,2,3,188,1897,1,166 Lake Street Perth WA 6000,197,-31.9433325,115.85996019999999,6000,1000000,House,0,1900-01,72,2020,WA,Perth,1,0,0,0,0,0
72,167 Lake Street,not recorded,2,5,309,1902,1,167 Lake Street Perth WA 6000,369,-31.9429874,115.8595106,6000,1825000,House,0,1900-01,73,2020,WA,Perth,1,0,0,0,0,0
76,172 Lake Street,Daniel Porcaro,2,3,208,1897,0,172 Lake Street Perth WA 6000,195,-31.9431637,115.8599975,6000,1050000,House,0,1900-01,77,2021,WA,Perth,1,0,0,0,0,0
77,18 Church Street,Shaun Pratt,1,2,101,1920,1,18 Church Street Perth WA 6000,176,-31.9434635,115.85833400000001,6000,890000,House,590,2021-05,78,2021,WA,Perth,1,0,0,0,0,0
88,19/65 Palmerston Street,not recorded,2,3,118,2000,2,19/65 Palmerston Street Perth WA 6000,378,-31.943116600000003,115.8571209,6000,575000,Townhouse,480,2018-11,89,2020,WA,Perth,1,0,0,0,0,0
91,193 Lake Street,not recorded,1,3,90,1920,0,193 Lake Street Perth WA 6000,273,-31.9422,115.86,6000,820000,House,0,1900-01,92,2020,WA,Perth,1,0,0,0,0,0
93,195 Lake Street,not recorded,1,3,90,1920,2,195 Lake Street Perth WA 6000,268,-31.942140000000002,115.86003999999998,6000,860000,House,0,1900-01,94,2021,WA,Perth,1,0,0,0,0,0
97,2/142 Palmerston Street,Claude Iaconi,3,3,178,1999,2,2/142 Palmerston Street Perth WA 6000,244,-31.940459999999998,115.85943,6000,770000,House,500,2009-12,98,2021,WA,Perth,1,0,0,0,0,0
99,20/569 Wellington Street,not recorded,1,1,73,2001,0,20/569 Wellington Street Perth WA 6000,79,-31.951097700000002,115.8561876,6000,360500,House,345,2020-02,100,2021,WA,Perth,1,0,0,0,0,0
100,200 Bulwer Street,not recorded,1,2,125,1935,1,200 Bulwer Street Perth WA 6000,408,-31.9404358,115.8628741,6000,940000,House,0,1900-01,101,2020,WA,Perth,1,0,0,0,0,0
105,206A Bulwer Street,not recorded,2,3,160,1996,2,206A Bulwer Street Perth WA 6000,236,-31.94027,115.86261,6000,680500,House,410,2017-04,106,2020,WA,Perth,1,0,0,0,0,0
108,21 Myrtle Street,Annette O'Brien-Oxley,1,3,93,1981,2,21 Myrtle Street Perth WA 6000,104,-31.939459999999997,115.85826999999999,6000,802000,Townhouse,590,2018-10,109,2021,WA,Perth,1,0,0,0,0,0
110,21/378 Beaufort Street,not recorded,2,2,68,2012,1,21/378 Beaufort Street Perth WA 6000,95,-31.9421489,115.8676567,6000,420000,House,400,2018-07,111,2020,WA,Perth,1,0,0,0,0,0
112,217 Brisbane Street,not recorded,1,2,75,1940,1,217 Brisbane Street Perth WA 6000,219,-31.9416256,115.85992820000001,6000,770000,House,550,2020-04,113,2020,WA,Perth,1,0,0,0,0,0
119,226 Brisbane Street,not recorded,1,2,113,1983,1,226 Brisbane Street Perth WA 6000,490,-31.941106800000004,115.85974340000001,6000,620000,House,0,1900-01,120,2020,WA,Perth,1,0,0,0,0,0
120,23 Knebworth Avenue,Rob Edwards,1,2,113,1925,0,23 Knebworth Avenue Perth WA 6000,264,-31.9405591,115.86473400000001,6000,735000,House,500,2020-05,121,2020,WA,Perth,1,0,0,0,0,0
126,247 Lake Street,not recorded,2,2,162,2003,2,247 Lake Street Perth WA 6000,323,-31.939870000000003,115.86153999999999,6000,1080000,House,0,1900-01,127,2020,WA,Perth,1,0,0,0,0,0
127,25 Moir Street,not recorded,1,3,113,1920,1,25 Moir Street Perth WA 6000,278,-31.9430712,115.8605024,6000,784000,House,470,2019-01,128,2020,WA,Perth,1,0,0,0,0,0
128,25/226 Beaufort Street,not recorded,2,2,81,2011,1,25/226 Beaufort Street Perth WA 6000,110,-31.9459945,115.8653102,6000,490000,House,460,2019-11,129,2021,WA,Perth,1,0,0,0,0,0
133,27 Lane Street,not recorded,1,2,79,1918,0,27 Lane Street Perth WA 6000,378,-31.9420538,115.864526,6000,615000,House,0,1900-01,134,2020,WA,Perth,1,0,0,0,0,0
136,28 Myrtle Street,not recorded,1,2,115,1982,3,28 Myrtle Street Perth WA 6000,602,-31.93924,115.85813,6000,805000,House,550,2016-05,137,2020,WA,Perth,1,0,0,0,0,0
146,2a Randell Street,not recorded,3,4,321,1996,3,2a Randell Street Perth WA 6000,760,-31.940031400000002,115.85900179999999,6000,775000,House,0,1900-01,147,2020,WA,Perth,1,0,0,0,0,0
148,3 Brookman Street,not recorded,1,4,135,1920,1,3 Brookman Street Perth WA 6000,301,-31.9444071,115.8604936,6000,895000,House,0,1900-01,149,2020,WA,Perth,1,0,0,0,0,0
154,30 Randell Street,not recorded,1,2,87,1955,0,30 Randell Street Perth WA 6000,291,-31.939615000000003,115.85803359999998,6000,715000,House,0,1900-01,155,2020,WA,Perth,1,0,0,0,0,0
157,32 Wade Street,not recorded,1,3,124,1935,1,32 Wade Street Perth WA 6000,304,-31.9420179,115.8641679,6000,710000,House,0,1900-01,158,2020,WA,Perth,1,0,0,0,0,0
164,35 Windsor Street,not recorded,1,4,179,1930,3,35 Windsor Street Perth WA 6000,1114,-31.944225899999996,115.87437990000001,6000,1350000,House,0,1900-01,165,2020,WA,Perth,1,0,0,0,0,0
182,43 West Parade,not recorded,1,2,101,1920,3,43 West Parade Perth WA 6000,233,-31.943063899999995,115.87613629999998,6000,620000,House,395,2017-06,183,2020,WA,Perth,1,0,0,0,0,0
185,45/34 Palmerston Street,ROB STEFANOVSKI,2,2,120,1999,1,45/34 Palmerston Street Perth WA 6000,160,-31.9438988,115.8577122,6000,585000,House,580,2014-04,186,2021,WA,Perth,1,0,0,0,0,0
190,4B Stuart Street,not recorded,1,3,103,1989,1,4B Stuart Street Perth WA 6000,172,-31.94316,115.8593,6000,680000,House,450,2020-04,191,2020,WA,Perth,1,0,0,0,0,0
191,4E/811 Hay Street,not recorded,1,1,41,2001,0,4E/811 Hay Street Perth WA 6000,868,-31.953105800000003,115.8553788,6000,215000,House,300,2020-12,192,2020,WA,Perth,1,0,0,0,0,0
195,5/18 Robinson Avenue,not recorded,2,3,138,2002,2,5/18 Robinson Avenue Perth WA 6000,212,-31.944274600000004,115.8638426,6000,765000,Townhouse,0,1900-01,196,2020,WA,Perth,1,0,0,0,0,0
205,52/101 Murray Street,not recorded,1,1,46,2011,1,52/101 Murray Street Perth WA 6000,46,-31.954226199999997,115.8620192,6000,265000,House,360,2018-01,206,2020,WA,Perth,1,0,0,0,0,0
211,56 Bulwer Street,Helen Bond,1,2,105,1910,2,56 Bulwer Street Perth WA 6000,316,-31.9432154,115.86914660000001,6000,800000,House,0,1900-01,212,2021,WA,Perth,1,0,0,0,0,0
213,56/34 Palmerston Street,not recorded,2,2,132,1999,1,56/34 Palmerston Street Perth WA 6000,196,-31.9438988,115.8577122,6000,505000,Townhouse,0,1900-01,214,2020,WA,Perth,1,0,0,0,0,0
223,6 Edith Street,Sven Robertson,2,4,166,1999,2,6 Edith Street Perth WA 6000,224,-31.940960600000004,115.86275590000001,6000,700000,Townhouse,750,2017-07,224,2020,WA,Perth,1,0,0,0,0,0
234,61 Lindsay Street,not recorded,2,3,194,1935,2,61 Lindsay Street Perth WA 6000,300,-31.945044,115.86420259999998,6000,1310000,House,0,1900-01,235,2021,WA,Perth,1,0,0,0,0,0
244,66b Robinson Avenue,Claude Iaconi,1,3,120,1991,2,66b Robinson Avenue Perth WA 6000,305,-31.9432206,115.8615884,6000,775000,House,0,1900-01,245,2020,WA,Perth,1,0,0,0,0,0
248,7/117 Lake Street,not recorded,2,2,92,2000,1,7/117 Lake Street Perth WA 6000,114,-31.9445343,115.8585997,6000,500000,Townhouse,0,1900-01,249,2020,WA,Perth,1,0,0,0,0,0
251,7/2 Braid Street,Beaufort Team - Pam & Jodi,1,2,93,2008,1,7/2 Braid Street Perth WA 6000,130,-31.949183,115.8679775,6000,505000,Townhouse,440,2011-07,252,2021,WA,Perth,1,0,0,0,0,0
258,79 Glendower Street,not recorded,3,3,156,1982,1,79 Glendower Street Perth WA 6000,197,-31.939023600000002,115.8610182,6000,1350000,House,800,2011-09,259,2020,WA,Perth,1,0,0,0,0,0
266,81/22 St Georges Terrace,not recorded,2,2,90,2009,1,81/22 St Georges Terrace Perth WA 6000,120,-31.9564827,115.8638659,6000,585000,House,650,2020-10,267,2020,WA,Perth,1,0,0,0,0,0
273,9 Dangan Street,not recorded,2,3,102,1920,2,9 Dangan Street Perth WA 6000,357,-31.9405723,115.8599629,6000,820000,House,0,1900-01,274,2020,WA,Perth,1,0,0,0,0,0
274,9 Throssell Street,not recorded,1,3,113,1925,2,9 Throssell Street Perth WA 6000,491,-31.9373583,115.8593159,6000,1450000,House,690,2021-04,275,2021,WA,Perth,1,0,0,0,0,0
290,42/33 MALCOLM STREET,not recorded,2,3,140,2010,2,42/33 MALCOLM STREET West Perth WA 6005,158,-31.9534429,115.8473896,6005,1050000,House,1200,2019-02,291,2021,WA,West Perth,0,0,1,0,0,0
291,6/16 Carr Street,Ashby Farrell,2,3,107,1990,2,6/16 Carr Street West Perth WA 6005,190,-31.940582899999995,115.854431,6005,550000,Townhouse,0,1900-01,292,2021,WA,West Perth,0,0,1,0,0,0
297,11/129 Carr Street,not recorded,1,2,82,1991,1,11/129 Carr Street West Perth WA 6005,156,-31.938419800000002,115.84824840000002,6005,420000,Townhouse,0,1900-01,298,2021,WA,West Perth,0,0,1,0,0,0
305,3/143 Carr Street,Richard Self,2,3,113,1993,2,3/143 Carr Street West Perth WA 6005,168,-31.938159999999996,115.84741000000001,6005,610000,Townhouse,525,2020-01,306,2021,WA,West Perth,0,0,1,0,0,0
318,22 Florence Place,Peter Wright,2,3,141,1915,2,22 Florence Place West Perth WA 6005,195,-31.9369522,115.8516018,6005,790000,Townhouse,775,2021-05,319,2021,WA,West Perth,0,0,1,0,0,0
320,15A Victoria Street,Joe Raschilla,2,3,144,1994,2,15A Victoria Street West Perth WA 6005,189,-31.938443,115.85356000000002,6005,755000,Townhouse,450,2014-08,321,2021,WA,West Perth,0,0,1,0,0,0
324,3/2a Janet Street,Richard Self,2,3,104,1998,1,3/2a Janet Street West Perth WA 6005,188,-31.93788,115.85231,6005,550000,Townhouse,400,2019-06,325,2021,WA,West Perth,0,0,1,0,0,0
329,3/26 Florence Street,Claude Iaconi,1,3,110,1985,2,3/26 Florence Street West Perth WA 6005,183,-31.93773,115.85096999999999,6005,570000,Townhouse,0,1900-01,330,2021,WA,West Perth,0,0,1,0,0,0
334,32 Oak Lane,Carla Yazmadjian,1,3,115,2000,1,32 Oak Lane West Perth WA 6005,172,-31.936664399999998,115.85225120000001,6005,485000,Townhouse,550,2021-04,335,2021,WA,West Perth,0,0,1,0,0,0
344,58/4 Delhi Street,not recorded,1,1,52,2006,1,58/4 Delhi Street West Perth WA 6005,76,-31.9452984,115.8455682,6005,338000,House,460,2021-03,345,2021,WA,West Perth,0,0,1,0,0,0
345,209A Vincent Street,Peter Wright,2,3,146,2020,2,209A Vincent Street West Perth WA 6005,199,-31.9366675,115.85182979999999,6005,770000,Townhouse,0,1900-01,346,2021,WA,West Perth,0,0,1,0,0,0
347,24 Florence Street,Claude Iaconi,3,4,210,1930,3,24 Florence Street West Perth WA 6005,783,-31.937872600000002,115.8508594,6005,1700000,House,1600,2017-02,348,2021,WA,West Perth,0,0,1,0,0,0
349,31 Florence Street,Craig Gaspar,2,4,171,1905,1,31 Florence Street West Perth WA 6005,577,-31.9379619,115.85025859999999,6005,1281000,House,850,2021-03,350,2021,WA,West Perth,0,0,1,0,0,0
350,76C Carr Street,Simon Pigliardo,2,3,149,2008,2,76C Carr Street West Perth WA 6005,193,-31.939012199999997,115.8512686,6005,880000,House,0,1900-01,351,2021,WA,West Perth,0,0,1,0,0,0
352,41 Cowle Street,not recorded,2,4,105,1920,1,41 Cowle Street West Perth WA 6005,890,-31.939870000000003,115.85406,6005,1230000,House,0,1900-01,353,2021,WA,West Perth,0,0,1,0,0,0
353,24 Florence Place,Peter Wright,2,3,159,1930,2,24 Florence Place West Perth WA 6005,187,-31.9369522,115.8516018,6005,740000,Townhouse,0,1900-01,354,2021,WA,West Perth,0,0,1,0,0,0
356,34A Cleaver Street,Louise Markovic,3,4,156,2020,2,34A Cleaver Street West Perth WA 6005,127,-31.9396315,115.8490571,6005,780000,Townhouse,0,1900-01,357,2021,WA,West Perth,0,0,1,0,0,0
357,34C Cleaver Street,Louise Markovic,2,3,143,2020,2,34C Cleaver Street West Perth WA 6005,118,-31.9396315,115.8490571,6005,750000,Townhouse,0,1900-01,358,2021,WA,West Perth,0,0,1,0,0,0
360,17/161 Charles Street,not recorded,1,2,73,1977,1,17/161 Charles Street West Perth WA 6005,73,-31.9383637,115.85231499999999,6005,260000,House,350,2011-05,361,2021,WA,West Perth,0,0,1,0,0,0
369,34D Cleaver Street,Richard Self,2,3,178,2020,2,34D Cleaver Street West Perth WA 6005,127,-31.9396315,115.8490571,6005,770000,Townhouse,0,1900-01,370,2020,WA,West Perth,0,0,1,0,0,0
373,189 Vincent Street,Matthew Jones,1,3,119,1920,2,189 Vincent Street West Perth WA 6005,402,-31.936682799999996,115.8557577,6005,675000,House,350,2019-09,374,2020,WA,West Perth,0,0,1,0,0,0
376,7/132 Carr Street,Steve Lorrimar,1,3,82,1976,2,7/132 Carr Street West Perth WA 6005,85,-31.937448600000003,115.84819070000002,6005,567500,Villa,0,1900-01,377,2020,WA,West Perth,0,0,1,0,0,0
377,25 Kingston Avenue,Jade Lippiatt,1,2,72,1935,0,25 Kingston Avenue West Perth WA 6005,201,-31.939017800000002,115.84737989999999,6005,680000,House,450,2018-05,378,2020,WA,West Perth,0,0,1,0,0,0
382,22A Kingston Avenue,not recorded,2,4,239,2020,2,22A Kingston Avenue West Perth WA 6005,379,-31.938770799999997,115.8478808,6005,1155500,House,0,1900-01,383,2020,WA,West Perth,0,0,1,0,0,0
396,29 Cowle Street,Theo Kouroulis,1,2,84,1910,2,29 Cowle Street West Perth WA 6005,381,-31.9399592,115.85479690000001,6005,725000,House,480,2020-02,397,2020,WA,West Perth,0,0,1,0,0,0
398,11 Florence Street,not recorded,1,3,158,1920,1,11 Florence Street West Perth WA 6005,369,-31.9386873,115.8503511,6005,925000,House,0,1900-01,399,2020,WA,West Perth,0,0,1,0,0,0
415,55 Kingston Avenue,not recorded,1,3,154,1930,1,55 Kingston Avenue West Perth WA 6005,549,-31.93885,115.8467466,6005,979000,House,0,1900-01,416,2020,WA,West Perth,0,0,1,0,0,0
417,25 Cowle Street,Claude Iaconi,1,3,132,1896,1,25 Cowle Street West Perth WA 6005,350,-31.94022,115.85475,6005,880000,House,0,1900-01,418,2020,WA,West Perth,0,0,1,0,0,0
418,35 Victoria Street,not recorded,2,2,98,1980,2,35 Victoria Street West Perth WA 6005,150,-31.9379005,115.8539209,6005,458000,Townhouse,0,1900-01,419,2020,WA,West Perth,0,0,1,0,0,0
421,16/11 Altona Street,not recorded,2,2,69,2004,1,16/11 Altona Street West Perth WA 6005,115,-31.951299600000006,115.83939879999998,6005,380000,House,525,2020-05,422,2020,WA,West Perth,0,0,1,0,0,0
424,61 Kingston Avenue,not recorded,1,2,86,1935,1,61 Kingston Avenue West Perth WA 6005,91,-31.938779999999998,115.84651000000001,6005,540000,House,0,1900-01,425,2020,WA,West Perth,0,0,1,0,0,0
437,20 Lawrence Avenue,not recorded,1,2,62,1915,0,20 Lawrence Avenue West Perth WA 6005,70,-31.945277899999997,115.8425256,6005,675000,House,0,1900-01,438,2020,WA,West Perth,0,0,1,0,0,0
591,47B Trafalgar Road,Brendan Smith,2,3,152,2000,1,47B Trafalgar Road East Perth WA 6004,530,-31.953670000000002,115.87995,6004,869000,House,520,2020-01,592,2021,WA,East Perth,0,1,0,0,0,0
597,16 Gardiner Street,not recorded,1,2,92,1930,1,16 Gardiner Street East Perth WA 6004,732,-31.9406893,115.8799709,6004,1000000,House,335,2016-04,598,2021,WA,East Perth,0,1,0,0,0,0
612,37 Arden Street,ANGELA SHENG,2,4,205,1996,2,37 Arden Street East Perth WA 6004,204,-31.953409999999998,115.88148999999999,6004,1685000,House,750,2015-08,613,2021,WA,East Perth,0,1,0,0,0,0
623,24A Kensington Street,Brendan Smith,3,3,166,2001,2,24A Kensington Street East Perth WA 6004,114,-31.949820000000003,115.87875,6004,952000,Townhouse,0,1900-01,624,2021,WA,East Perth,0,1,0,0,0,0
626,15 Haig Park Circle,Brendan Smith,3,4,300,2002,3,15 Haig Park Circle East Perth WA 6004,175,-31.953909999999997,115.87956000000001,6004,1900000,House,0,1900-01,627,2021,WA,East Perth,0,1,0,0,0,0
638,1 Gardiner Street,not recorded,1,3,148,1920,2,1 Gardiner Street East Perth WA 6004,883,-31.9417547,115.87983229999999,6004,1530000,House,0,1900-01,639,2021,WA,East Perth,0,1,0,0,0,0
670,6 Flagstaff Lane,Brendan Smith,2,3,165,1999,2,6 Flagstaff Lane East Perth WA 6004,160,-31.9512103,115.8794075,6004,1235000,House,700,2015-08,671,2021,WA,East Perth,0,1,0,0,0,0
672,12 Little Brown Street,not recorded,1,2,102,1997,1,12 Little Brown Street East Perth WA 6004,150,-31.951359999999998,115.87487,6004,585000,Townhouse,0,1900-01,673,2021,WA,East Perth,0,1,0,0,0,0
703,47 Wellington Street,not recorded,1,3,105,1920,1,47 Wellington Street East Perth WA 6004,617,-31.956698,115.87396399999999,6004,765000,House,0,1900-01,704,2021,WA,East Perth,0,1,0,0,0,0
754,45/188 Adelaide Terrace,not recorded,2,2,84,2007,1,45/188 Adelaide Terrace East Perth WA 6004,114,-31.9590609,115.8702443,6004,390000,House,450,2020-08,755,2020,WA,East Perth,0,1,0,0,0,0
765,11 Bakery Lane,not recorded,2,3,190,2003,2,11 Bakery Lane East Perth WA 6004,161,-31.951387699999998,115.8740102,6004,990000,House,800,2007-09,766,2020,WA,East Perth,0,1,0,0,0,0
792,4 Constitution Street,Peter Wright,2,3,110,1996,2,4 Constitution Street East Perth WA 6004,206,-31.954140000000002,115.8813,6004,719000,Townhouse,590,2019-11,793,2020,WA,East Perth,0,1,0,0,0,0
806,105 Zebina Street,Paul Owen,1,3,131,1930,3,105 Zebina Street East Perth WA 6004,491,-31.940443899999998,115.87881570000002,6004,802000,House,0,1900-01,807,2020,WA,East Perth,0,1,0,0,0,0
807,Lot 1 of 46 Joel Terrace,not recorded,2,3,200,1925,2,Lot 1 of 46 Joel Terrace East Perth WA 6004,216,-31.94308,115.87993,6004,440000,House,0,1900-01,808,2020,WA,East Perth,0,1,0,0,0,0
821,12 Wittenoom Street,not recorded,2,4,250,2002,3,12 Wittenoom Street East Perth WA 6004,234,-31.9548,115.87898999999999,6004,1190000,House,750,2012-01,822,2020,WA,East Perth,0,1,0,0,0,0
831,39/193 Hay Street,not recorded,1,2,70,2000,1,39/193 Hay Street East Perth WA 6004,95,-31.959162199999998,115.87320159999999,6004,258000,House,0,1900-01,832,2020,WA,East Perth,0,1,0,0,0,0
832,44 Tully Road,not recorded,2,3,209,2003,2,44 Tully Road East Perth WA 6004,246,-31.948933899999997,115.8796037,6004,1050000,House,0,1900-01,833,2020,WA,East Perth,0,1,0,0,0,0
834,50 Wittenoom Street,Brendan Smith,3,4,217,2003,2,50 Wittenoom Street East Perth WA 6004,198,-31.9537169,115.8756737,6004,950000,House,730,2020-03,835,2020,WA,East Perth,0,1,0,0,0,0
840,40 Kensington Street,not recorded,2,3,183,2001,2,40 Kensington Street East Perth WA 6004,237,-31.949869699999997,115.8776152,6004,950000,House,650,2011-10,841,2020,WA,East Perth,0,1,0,0,0,0
