,address,agent,bathrooms,bedrooms,building_size,built_date,car_space,full_address,land_size,lat,lng,postcode,price,property_type,rent,rent_date,sale_id,sold_date,state,suburb,perth,east_perth,west_perth,northbridge,crawley,nedlands
844,23 Victory Terrace,not recorded,3,3,245,2000,2,23 Victory Terrace East Perth WA 6004,161,-31.949882300000002,115.879849,6004,975000,House,1000,2016-11,845,2020,WA,East Perth,0,1,0,0,0,0
847,24 Victory Terrace,not recorded,3,4,309,2000,2,24 Victory Terrace East Perth WA 6004,285,-31.949738899999996,115.88036709999999,6004,1545000,House,0,1900-01,848,2020,WA,East Perth,0,1,0,0,0,0
864,306/251 Hay Street,not recorded,1,1,67,2007,0,306/251 Hay Street East Perth WA 6004,75,-31.958364899999996,115.8708987,6004,227000,House,310,2017-12,865,2020,WA,East Perth,0,1,0,0,0,0
866,17/39 Bronte Street,not recorded,2,3,105,1990,2,17/39 Bronte Street East Perth WA 6004,168,-31.955768,115.8745682,6004,445000,Townhouse,390,2020-04,867,2020,WA,East Perth,0,1,0,0,0,0
867,6/32 Fielder Street,not recorded,2,3,128,2007,2,6/32 Fielder Street East Perth WA 6004,210,-31.950757399999997,115.8733864,6004,640000,House,0,1900-01,868,2020,WA,East Perth,0,1,0,0,0,0
874,73 Fairway,Jack Bradshaw,1,2,131,1939,2,73 Fairway Crawley WA 6009,607,-31.982159600000003,115.8153668,6009,1180000,House,550,2021-08,875,2021,WA,Crawley,0,0,0,0,1,0
875,65 Fairway,Jack Bradshaw,1,2,77,1921,2,65 Fairway Crawley WA 6009,607,-31.981745500000002,115.8153668,6009,1225000,House,310,2008-06,876,2021,WA,Crawley,0,0,0,0,1,0
877,55 Fairway,Brian Neo,2,3,164,1948,2,55 Fairway Crawley WA 6009,607,-31.981051500000003,115.8153206,6009,1275000,House,0,1900-01,878,2021,WA,Crawley,0,0,0,0,1,0
878,6/9-11 Wingfield Avenue,Michelle Kerr,2,3,148,1972,3,6/9-11 Wingfield Avenue Crawley WA 6009,154,-31.97265,115.82405,6009,920000,House,0,1900-01,879,2021,WA,Crawley,0,0,0,0,1,0
882,7/131 Fairway,Michelle Kerr,2,3,130,2000,2,7/131 Fairway Crawley WA 6009,159,-31.9854781,115.8154361,6009,860000,House,670,2021-02,883,2021,WA,Crawley,0,0,0,0,1,0
884,5/20 Park Road,Belinda Airey,1,2,90,2004,1,5/20 Park Road Crawley WA 6009,86,-31.9747065,115.81402649999998,6009,639000,Townhouse,500,2010-11,885,2021,WA,Crawley,0,0,0,0,1,0
889,2/15 COOK STREET,Peter Zambotti,1,3,116,1981,1,2/15 COOK STREET Crawley WA 6009,119,-31.983743800000003,115.81617560000001,6009,635000,House,750,2012-03,890,2021,WA,Crawley,0,0,0,0,1,0
896,8E Park Road,not recorded,1,1,81,1999,1,8E Park Road Crawley WA 6009,116,-31.97478,115.81486000000001,6009,525000,House,500,2019-01,897,2020,WA,Crawley,0,0,0,0,1,0
898,1/31 Caporn Street,not recorded,1,3,102,1981,1,1/31 Caporn Street Crawley WA 6009,95,-31.984720000000003,115.81743,6009,530000,Townhouse,0,1900-01,899,2020,WA,Crawley,0,0,0,0,1,0
900,1/139 Fairway,not recorded,1,2,100,1978,2,1/139 Fairway Crawley WA 6009,95,-31.9859381,115.8153206,6009,540000,Townhouse,0,1900-01,901,2020,WA,Crawley,0,0,0,0,1,0
1120,95 Broadway,not recorded,3,5,268,1923,0,95 Broadway Nedlands WA 6009,883,-31.9827834,115.8142114,6009,2280000,House,995,2014-09,1121,2021,WA,Nedlands,0,0,0,0,0,1
1121,42 Kinninmont Avenue,Jac Fear,1,3,186,1950,1,42 Kinninmont Avenue Nedlands WA 6009,1012,-31.977642799999998,115.8049908,6009,2050000,House,0,1900-01,1122,2021,WA,Nedlands,0,0,0,0,0,1
1123,50 Kanimbla Road,David Airey,2,3,90,1985,2,50 Kanimbla Road Nedlands WA 6009,297,-31.9742262,115.8157976,6009,1000000,House,0,1900-01,1124,2021,WA,Nedlands,0,0,0,0,0,1
1124,16 Williams Road,not recorded,1,2,115,1936,1,16 Williams Road Nedlands WA 6009,455,-31.972035899999998,115.80954340000001,6009,1070000,House,450,2017-08,1125,2021,WA,Nedlands,0,0,0,0,0,1
1125,34 Bruce Street,Michelle Kerr,2,4,282,1938,6,34 Bruce Street Nedlands WA 6009,883,-31.982614899999998,115.8114614,6009,2480000,House,0,1900-01,1126,2021,WA,Nedlands,0,0,0,0,0,1
1126,29B Dalkeith Road,Michelle Kerr,2,3,186,1999,4,29B Dalkeith Road Nedlands WA 6009,312,-31.9787328,115.8020327,6009,1100000,House,900,2013-08,1127,2021,WA,Nedlands,0,0,0,0,0,1
1127,1B Rockton Road,not recorded,2,3,146,1989,1,1B Rockton Road Nedlands WA 6009,317,-31.9819076,115.7913111,6009,1175000,House,750,2020-03,1128,2021,WA,Nedlands,0,0,0,0,0,1
1128,135 Broadway,Tony Cowan,1,3,115,1918,2,135 Broadway Nedlands WA 6009,880,-31.9867903,115.81425759999999,6009,2375000,House,330,2020-04,1129,2021,WA,Nedlands,0,0,0,0,0,1
1129,23 Meriwa Street,Michelle Kerr,2,3,215,1950,2,23 Meriwa Street Nedlands WA 6009,513,-31.9729195,115.8100518,6009,1410000,House,800,2017-12,1130,2021,WA,Nedlands,0,0,0,0,0,1
1131,36 Archdeacon Street,Michelle Kerr,3,5,375,1950,2,36 Archdeacon Street Nedlands WA 6009,809,-31.9819191,115.8103753,6009,2980000,House,0,1900-01,1132,2021,WA,Nedlands,0,0,0,0,0,1
1133,4/14 Monash Avenue,Marie Staniland,1,3,109,1981,1,4/14 Monash Avenue Nedlands WA 6009,104,-31.970871000000002,115.81641259999999,6009,615000,Townhouse,0,1900-01,1134,2021,WA,Nedlands,0,0,0,0,0,1
1134,51 Stanley Street,not recorded,2,6,256,1949,2,51 Stanley Street Nedlands WA 6009,1012,-31.9843093,115.80480590000002,6009,1830000,House,920,2018-03,1135,2021,WA,Nedlands,0,0,0,0,0,1
1135,2 Thomas Street,Michelle Kerr,2,3,101,1945,2,2 Thomas Street Nedlands WA 6009,1046,-31.978799300000002,115.80834170000001,6009,1850000,House,0,1900-01,1136,2021,WA,Nedlands,0,0,0,0,0,1
1136,7/59 Dalkeith Road,Kate Gale,1,3,93,1978,1,7/59 Dalkeith Road Nedlands WA 6009,93,-31.980093100000005,115.8022618,6009,620000,Townhouse,390,2020-08,1137,2021,WA,Nedlands,0,0,0,0,0,1
1137,88 Bruce Street,Michelle Kerr,3,3,180,1950,2,88 Bruce Street Nedlands WA 6009,342,-31.989929999999998,115.81138,6009,1530000,House,0,1900-01,1138,2021,WA,Nedlands,0,0,0,0,0,1
1138,104 Williams Road,Alison Davies,1,2,93,1945,1,104 Williams Road Nedlands WA 6009,343,-31.977290000000004,115.80986000000001,6009,745000,House,380,2020-02,1139,2021,WA,Nedlands,0,0,0,0,0,1
1139,14 Karella Street,Susan James,3,3,205,1965,2,14 Karella Street Nedlands WA 6009,594,-31.973094500000002,115.8061001,6009,1450000,House,0,1900-01,1140,2021,WA,Nedlands,0,0,0,0,0,1
1140,14 Loch Street,Stuart Paterson,1,2,130,1920,1,14 Loch Street Nedlands WA 6009,696,-31.976624400000002,115.79165630000001,6009,950000,House,0,1900-01,1141,2021,WA,Nedlands,0,0,0,0,0,1
1141,15/26 Broome Street,Peter Clements,1,3,110,1976,1,15/26 Broome Street Nedlands WA 6009,110,-31.979340000000004,115.79901000000001,6009,555000,House,430,2016-09,1142,2021,WA,Nedlands,0,0,0,0,0,1
1142,66 Bruce Street,not recorded,3,6,403,1930,2,66 Bruce Street Nedlands WA 6009,880,-31.9856994,115.811369,6009,2250000,House,0,1900-01,1143,2021,WA,Nedlands,0,0,0,0,0,1
1143,2/16 Monash Avenue,not recorded,1,3,107,1981,1,2/16 Monash Avenue Nedlands WA 6009,107,-31.97087,115.81617,6009,615000,Townhouse,495,2015-10,1144,2021,WA,Nedlands,0,0,0,0,0,1
1144,16 Mountjoy Road,Mitra Roshan,2,4,210,1960,2,16 Mountjoy Road Nedlands WA 6009,1012,-31.9811875,115.80173229999998,6009,2416000,House,0,1900-01,1145,2021,WA,Nedlands,0,0,0,0,0,1
1145,35 Langham Street,Michelle Kerr,2,4,220,1929,2,35 Langham Street Nedlands WA 6009,908,-31.9765359,115.8066547,6009,1780000,House,0,1900-01,1146,2021,WA,Nedlands,0,0,0,0,0,1
1146,45 Webster Street,James Thompson,3,5,379,1935,2,45 Webster Street Nedlands WA 6009,1012,-31.9833499,115.806077,6009,2928888,House,1900,2019-05,1147,2021,WA,Nedlands,0,0,0,0,0,1
1147,45 Viewway,Michelle Kerr,2,4,227,1937,2,45 Viewway Nedlands WA 6009,880,-31.9855118,115.8119467,6009,1900000,House,0,1900-01,1148,2021,WA,Nedlands,0,0,0,0,0,1
1148,25 Elizabeth Street,Michelle Kerr,2,4,280,1950,4,25 Elizabeth Street Nedlands WA 6009,809,-31.983496600000002,115.8094047,6009,2200000,House,0,1900-01,1149,2021,WA,Nedlands,0,0,0,0,0,1
1149,31 Napier Street,not recorded,2,4,317,2012,2,31 Napier Street Nedlands WA 6009,696,-31.9780385,115.7932509,6009,2350000,House,850,2008-10,1150,2021,WA,Nedlands,0,0,0,0,0,1
1150,43 Viewway,Michelle Kerr,2,4,170,1975,2,43 Viewway Nedlands WA 6009,880,-31.985336100000005,115.8119929,6009,1680000,House,800,2009-01,1151,2020,WA,Nedlands,0,0,0,0,0,1
1151,61 Meriwa Street,not recorded,1,2,98,1945,1,61 Meriwa Street Nedlands WA 6009,456,-31.975331699999998,115.81000549999999,6009,1155000,House,550,2019-03,1152,2020,WA,Nedlands,0,0,0,0,0,1
1152,1/28 Stirling Highway,Peter Clements,2,4,109,1979,1,1/28 Stirling Highway Nedlands WA 6009,109,-31.9784269,115.81021270000001,6009,720000,House,0,1900-01,1153,2020,WA,Nedlands,0,0,0,0,0,1
1153,81 Mountjoy Road,not recorded,3,4,395,2012,1,81 Mountjoy Road Nedlands WA 6009,1013,-31.9875547,115.80092350000001,6009,2750000,House,500,2010-11,1154,2020,WA,Nedlands,0,0,0,0,0,1
1154,31 Waroonga Road,not recorded,2,3,147,1939,4,31 Waroonga Road Nedlands WA 6009,923,-31.9848058,115.7926038,6009,1840000,House,950,2020-12,1155,2020,WA,Nedlands,0,0,0,0,0,1
1155,15 Dalkeith Road,not recorded,2,4,238,2011,2,15 Dalkeith Road Nedlands WA 6009,1012,-31.9771739,115.802287,6009,1900000,House,0,1900-01,1156,2020,WA,Nedlands,0,0,0,0,0,1
1156,46 Rockton Road,Ken Baker,1,4,220,1967,6,46 Rockton Road Nedlands WA 6009,923,-31.9856918,115.7919567,6009,1628000,House,0,1900-01,1157,2020,WA,Nedlands,0,0,0,0,0,1
1157,8/111 Stirling Highway,not recorded,1,3,73,1979,1,8/111 Stirling Highway Nedlands WA 6009,73,-31.979340000000004,115.80057,6009,470000,House,400,2017-04,1158,2020,WA,Nedlands,0,0,0,0,0,1
1158,36 Webster Street,not recorded,1,4,133,1933,1,36 Webster Street Nedlands WA 6009,1012,-31.982313899999998,115.8067471,6009,1840000,House,0,1900-01,1159,2020,WA,Nedlands,0,0,0,0,0,1
1159,4/2a Marita Road,Paul Owen,1,2,77,1965,1,4/2a Marita Road Nedlands WA 6009,83,-31.980836600000004,115.79675049999999,6009,550000,Townhouse,625,2019-12,1160,2020,WA,Nedlands,0,0,0,0,0,1
1160,17 Kinninmont Avenue,not recorded,2,3,134,1937,1,17 Kinninmont Avenue Nedlands WA 6009,1034,-31.974724199999997,115.8044131,6009,1490000,House,0,1900-01,1161,2020,WA,Nedlands,0,0,0,0,0,1
1161,9/192 Hampden Road,not recorded,2,3,108,1999,2,9/192 Hampden Road Nedlands WA 6009,152,-31.973727,115.81386470000001,6009,512000,Townhouse,400,2017-08,1162,2020,WA,Nedlands,0,0,0,0,0,1
1162,25B Dalkeith Road,not recorded,2,3,80,1965,2,25B Dalkeith Road Nedlands WA 6009,327,-31.97839,115.80221999999999,6009,1750000,House,0,1900-01,1163,2020,WA,Nedlands,0,0,0,0,0,1
1163,25A Dalkeith Road,not recorded,2,3,94,1965,2,25A Dalkeith Road Nedlands WA 6009,393,-31.97839,115.80221999999999,6009,1750000,House,500,2014-08,1164,2020,WA,Nedlands,0,0,0,0,0,1
1165,39 Marita Road,not recorded,2,3,137,1959,2,39 Marita Road Nedlands WA 6009,923,-31.9849799,115.79609350000001,6009,1610000,House,825,2020-11,1166,2020,WA,Nedlands,0,0,0,0,0,1
1166,65 Mountjoy Road,not recorded,5,5,384,1937,2,65 Mountjoy Road Nedlands WA 6009,1012,-31.9859038,115.8009928,6009,2799000,House,0,1900-01,1167,2020,WA,Nedlands,0,0,0,0,0,1
1167,73 Smyth Road,Mitra Roshan,2,3,195,1954,1,73 Smyth Road Nedlands WA 6009,1041,-31.974540299999997,115.80554540000001,6009,1360000,House,650,2019-04,1168,2020,WA,Nedlands,0,0,0,0,0,1
1168,95 Smyth Road,not recorded,2,3,188,1925,2,95 Smyth Road Nedlands WA 6009,1020,-31.9773924,115.80547609999999,6009,1620000,House,0,1900-01,1169,2020,WA,Nedlands,0,0,0,0,0,1
1170,23B Bulimba Road,Murray Peter,2,3,180,1958,2,23B Bulimba Road Nedlands WA 6009,519,-31.983729999999998,115.79368000000001,6009,1058000,House,0,1900-01,1171,2020,WA,Nedlands,0,0,0,0,0,1
1172,48 Doonan Road,not recorded,2,3,242,1950,3,48 Doonan Road Nedlands WA 6009,997,-31.985049699999998,115.79796540000001,6009,1650000,House,575,2019-07,1173,2020,WA,Nedlands,0,0,0,0,0,1
1173,1/3 VIncent Street,not recorded,1,2,69,1979,1,1/3 VIncent Street Nedlands WA 6009,69,-31.9805,115.79823999999999,6009,510000,Townhouse,385,2009-10,1174,2020,WA,Nedlands,0,0,0,0,0,1
1174,19/28 Stirling Highway,not recorded,1,2,90,1979,1,19/28 Stirling Highway Nedlands WA 6009,102,-31.9782863,115.8104797,6009,515000,Townhouse,400,2016-07,1175,2020,WA,Nedlands,0,0,0,0,0,1
1175,29 Portland Street,not recorded,1,3,181,1936,2,29 Portland Street Nedlands WA 6009,907,-31.975803600000003,115.80783329999998,6009,1635000,House,750,2019-02,1176,2020,WA,Nedlands,0,0,0,0,0,1
1176,81 Vincent Street,not recorded,2,4,195,1939,2,81 Vincent Street Nedlands WA 6009,1165,-31.9881595,115.79852,6009,1730000,House,0,1900-01,1177,2020,WA,Nedlands,0,0,0,0,0,1
1177,2/26 Broome Street,not recorded,1,2,64,1976,1,2/26 Broome Street Nedlands WA 6009,82,-31.979340000000004,115.79901000000001,6009,430000,Townhouse,0,1900-01,1178,2020,WA,Nedlands,0,0,0,0,0,1
1178,2/63 Stirling Highway,not recorded,1,2,70,1949,0,2/63 Stirling Highway Nedlands WA 6009,88,-31.982061600000005,115.78519750000001,6009,430000,Townhouse,350,2018-09,1179,2020,WA,Nedlands,0,0,0,0,0,1
1179,40 Boronia Avenue,not recorded,3,5,248,1938,6,40 Boronia Avenue Nedlands WA 6009,1013,-31.9774495,115.803974,6009,1820000,House,1200,2020-10,1180,2020,WA,Nedlands,0,0,0,0,0,1
1181,39 Tyrell Street,not recorded,3,5,285,1930,2,39 Tyrell Street Nedlands WA 6009,1012,-31.9828434,115.80850339999999,6009,1900000,House,0,1900-01,1182,2020,WA,Nedlands,0,0,0,0,0,1
1182,10/26 Broome Street,not recorded,1,3,110,1976,2,10/26 Broome Street Nedlands WA 6009,110,-31.979340000000004,115.79901000000001,6009,520000,Townhouse,440,2019-05,1183,2020,WA,Nedlands,0,0,0,0,0,1
1183,51 Florence Road,not recorded,2,4,215,1950,2,51 Florence Road Nedlands WA 6009,1012,-31.984984499999996,115.80360420000001,6009,1625000,House,950,2020-07,1184,2020,WA,Nedlands,0,0,0,0,0,1
1184,22 Ord Street,not recorded,3,5,289,2019,3,22 Ord Street Nedlands WA 6009,696,-31.977228600000004,115.79516909999998,6009,1722500,House,1300,2020-05,1185,2020,WA,Nedlands,0,0,0,0,0,1
1185,70 Vincent Street,not recorded,3,5,436,2015,2,70 Vincent Street Nedlands WA 6009,1133,-31.987522,115.79916709999999,6009,2720000,House,0,1900-01,1186,2020,WA,Nedlands,0,0,0,0,0,1
1187,22 Kingston Street,not recorded,2,4,355,1977,4,22 Kingston Street Nedlands WA 6009,1277,-31.9670778,115.8135874,6009,2150000,House,1800,2020-03,1188,2020,WA,Nedlands,0,0,0,0,0,1
1188,16 Viewway,not recorded,2,4,171,1972,2,16 Viewway Nedlands WA 6009,880,-31.982440999999998,115.81254750000001,6009,1500000,House,625,2020-04,1189,2020,WA,Nedlands,0,0,0,0,0,1
1189,3/29 The Avenue,not recorded,2,2,131,2002,2,3/29 The Avenue Nedlands WA 6009,158,-31.9884106,115.814939,6009,875000,Townhouse,0,1900-01,1190,2020,WA,Nedlands,0,0,0,0,0,1
1190,20 Kingsway,not recorded,1,4,177,1950,1,20 Kingsway Nedlands WA 6009,880,-31.9822827,115.8136568,6009,1800000,House,850,2014-08,1191,2020,WA,Nedlands,0,0,0,0,0,1
1191,47 Bulimba Road,not recorded,2,4,246,1939,6,47 Bulimba Road Nedlands WA 6009,923,-31.986113,115.7937362,6009,2100000,House,1350,2015-07,1192,2020,WA,Nedlands,0,0,0,0,0,1
1193,55 Kingsway,not recorded,2,3,262,1999,2,55 Kingsway Nedlands WA 6009,875,-31.986782899999998,115.81314840000002,6009,1975000,House,0,1900-01,1194,2020,WA,Nedlands,0,0,0,0,0,1
1194,66 Louise Street,not recorded,3,4,377,2007,2,66 Louise Street Nedlands WA 6009,1012,-31.9859157,115.8004613,6009,2100000,House,2000,2011-02,1195,2020,WA,Nedlands,0,0,0,0,0,1
1195,62 Williams Road,not recorded,3,4,203,1937,1,62 Williams Road Nedlands WA 6009,455,-31.974883600000002,115.8095896,6009,1205000,House,800,2017-11,1196,2020,WA,Nedlands,0,0,0,0,0,1
1197,18 Webster Street,not recorded,3,4,212,1950,2,18 Webster Street Nedlands WA 6009,1012,-31.980476,115.806724,6009,1970000,House,0,1900-01,1198,2020,WA,Nedlands,0,0,0,0,0,1
1198,52 The Avenue,not recorded,3,4,322,2012,2,52 The Avenue Nedlands WA 6009,683,-31.9904005,115.8138416,6009,2600000,House,2300,2017-12,1199,2020,WA,Nedlands,0,0,0,0,0,1
1199,97 Smyth Road,not recorded,2,4,217,1932,1,97 Smyth Road Nedlands WA 6009,1012,-31.977605199999996,115.80554540000001,6009,1600000,House,650,2021-02,1200,2020,WA,Nedlands,0,0,0,0,0,1
1200,6 Baird Avenue,not recorded,3,3,257,2019,2,6 Baird Avenue Nedlands WA 6009,1012,-31.9763205,115.8016399,6009,2300000,House,0,1900-01,1201,2020,WA,Nedlands,0,0,0,0,0,1
1201,2/24 Tareena Street,not recorded,1,3,116,1984,1,2/24 Tareena Street Nedlands WA 6009,109,-31.97278,115.81485,6009,600000,Townhouse,500,2010-11,1202,2020,WA,Nedlands,0,0,0,0,0,1
1202,67 Dalkeith Road,not recorded,2,4,220,1950,2,67 Dalkeith Road Nedlands WA 6009,1012,-31.981055800000004,115.8021483,6009,1615000,House,0,1900-01,1203,2020,WA,Nedlands,0,0,0,0,0,1
1203,27 Edward Street,not recorded,3,5,409,2006,3,27 Edward Street Nedlands WA 6009,964,-31.980558600000002,115.8112996,6009,2350000,House,0,1900-01,1204,2020,WA,Nedlands,0,0,0,0,0,1
1204,22 Edward Street,not recorded,3,4,143,1940,4,22 Edward Street Nedlands WA 6009,809,-31.9809765,115.81185430000001,6009,1720000,House,0,1900-01,1205,2020,WA,Nedlands,0,0,0,0,0,1
1205,21 Viewway,not recorded,2,5,365,1989,2,21 Viewway Nedlands WA 6009,880,-31.983177,115.8119236,6009,1775000,House,0,1900-01,1206,2020,WA,Nedlands,0,0,0,0,0,1
1206,93 Stanley Street,not recorded,2,3,296,2010,6,93 Stanley Street Nedlands WA 6009,1012,-31.988264899999997,115.80489840000001,6009,2775000,House,0,1900-01,1207,2020,WA,Nedlands,0,0,0,0,0,1
1207,30 DOONAN ROAD,not recorded,2,4,287,1935,2,30 DOONAN ROAD Nedlands WA 6009,994,-31.9834131,115.797873,6009,2000000,House,1300,2019-05,1208,2020,WA,Nedlands,0,0,0,0,0,1
1208,89 Clifton Street,not recorded,1,3,124,1945,1,89 Clifton Street Nedlands WA 6009,468,-31.9765929,115.8112534,6009,1050000,House,0,1900-01,1209,2020,WA,Nedlands,0,0,0,0,0,1
1209,82 Webster Street,not recorded,2,4,356,1935,2,82 Webster Street Nedlands WA 6009,1012,-31.986849300000003,115.80683959999999,6009,2700000,House,1150,2008-11,1210,2020,WA,Nedlands,0,0,0,0,0,1
1210,12 Napier Street,not recorded,2,4,178,1920,2,12 Napier Street Nedlands WA 6009,696,-31.9765168,115.7940598,6009,1200000,House,0,1900-01,1211,2020,WA,Nedlands,0,0,0,0,0,1
1211,24 Clark Street,not recorded,1,2,100,1926,1,24 Clark Street Nedlands WA 6009,911,-31.9798934,115.8124551,6009,1820000,House,400,2019-12,1212,2020,WA,Nedlands,0,0,0,0,0,1
1212,5/111 Stirling Highway,not recorded,1,2,72,1979,2,5/111 Stirling Highway Nedlands WA 6009,72,-31.979340000000004,115.80057,6009,460000,Townhouse,350,2016-11,1213,2020,WA,Nedlands,0,0,0,0,0,1
1213,1/26 Broome Street,not recorded,1,2,65,1980,4,1/26 Broome Street Nedlands WA 6009,65,-31.979340000000004,115.79901000000001,6009,490000,Townhouse,0,1900-01,1214,2020,WA,Nedlands,0,0,0,0,0,1
1214,32 Kinninmont Avenue,not recorded,3,5,291,1952,2,32 Kinninmont Avenue Nedlands WA 6009,1012,-31.9764631,115.8050832,6009,2350000,House,0,1900-01,1215,2020,WA,Nedlands,0,0,0,0,0,1
1215,82 Bruce Street,not recorded,2,3,141,1970,2,82 Bruce Street Nedlands WA 6009,885,-31.9893392,115.81148449999999,6009,1325000,House,0,1900-01,1216,2020,WA,Nedlands,0,0,0,0,0,1
1216,44 Bulimba Road,not recorded,3,5,289,1940,2,44 Bulimba Road Nedlands WA 6009,923,-31.985775399999994,115.7943371,6009,2225000,House,0,1900-01,1217,2020,WA,Nedlands,0,0,0,0,0,1
1217,27 Megalong Street,not recorded,1,3,119,1916,4,27 Megalong Street Nedlands WA 6009,491,-31.973056,115.816476,6009,1050000,House,550,2020-01,1218,2020,WA,Nedlands,0,0,0,0,0,1
1218,2B Bulimba Road,not recorded,1,2,124,1985,1,2B Bulimba Road Nedlands WA 6009,124,-31.98155,115.79438,6009,830000,House,0,1900-01,1219,2020,WA,Nedlands,0,0,0,0,0,1
1219,1 Betty Street,not recorded,1,3,138,1946,1,1 Betty Street Nedlands WA 6009,799,-31.98668,115.79624,6009,1420000,House,0,1900-01,1220,2020,WA,Nedlands,0,0,0,0,0,1
1220,26 Waroonga Road,not recorded,4,6,209,1905,2,26 Waroonga Road Nedlands WA 6009,923,-31.9841212,115.79318159999998,6009,2300000,House,0,1900-01,1221,2020,WA,Nedlands,0,0,0,0,0,1
1221,145 Dalkeith Road,not recorded,3,4,245,1939,1,145 Dalkeith Road Nedlands WA 6009,1153,-31.988495899999997,115.8023101,6009,1990050,House,0,1900-01,1222,2020,WA,Nedlands,0,0,0,0,0,1
1222,43 Mountjoy Road,not recorded,2,4,312,1960,2,43 Mountjoy Road Nedlands WA 6009,1012,-31.983957300000004,115.8009928,6009,1650000,House,0,1900-01,1223,2020,WA,Nedlands,0,0,0,0,0,1
1376,43 John Street,Claude Iaconi,2,2,116,1996,1,43 John Street Northbridge WA 6003,174,-31.945219399999996,115.853374,6003,620000,Townhouse,0,1900-01,1377,2021,WA,Northbridge,0,0,0,1,0,0
1384,16 Kakulas Crescent,Claude Iaconi,2,3,250,2005,2,16 Kakulas Crescent Northbridge WA 6003,246,-31.9452293,115.85760970000001,6003,1250000,House,0,1900-01,1385,2021,WA,Northbridge,0,0,0,1,0,0
1389,107/228 James Street,not recorded,2,3,123,1995,1,107/228 James Street Northbridge WA 6003,158,-31.946032000000002,115.8532393,6003,415000,Townhouse,0,1900-01,1390,2020,WA,Northbridge,0,0,0,1,0,0
1399,8 Little Shenton Lane,not recorded,1,2,94,1996,1,8 Little Shenton Lane Northbridge WA 6003,138,-31.94605,115.85411,6003,470000,Townhouse,400,2017-06,1400,2020,WA,Northbridge,0,0,0,1,0,0
